DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.00305,24.0,2.611117723669741,1.4467121923271644
0.00305,6.0,0.4946579835305992,0.4565417245787116
0.0061,24.0,5.343426302195307,1.1181145184138142
0.0061,6.0,3.4840895949308277,1.594977076002055
0.0122,24.0,11.76527913527812,0.8069075698044504
0.0122,6.0,6.42889189917894,0.2481296129165881
0.0122,48.0,14.480680154985246,2.344201946439244
0.0122,12.0,9.863086446582646,0.6201297330925458
0.0244,24.0,20.190250603242827,1.2200911890886152
0.0244,48.0,19.86799064017444,0.873803680681917
0.0244,3.0,2.495207131952234,0.3556768096660527
0.0244,24.0,20.838065560456382,4.4141881237924085
0.0244,48.0,16.420025124879547,0.833184081000272
0.127,41.0,49.94672018170894,10.593682558012093
