DNA (ug/uL),T7 RNAP (U/uL),Rate (mAu*s/uM),Uncertainty (mAu*s/uM)
0.0,0.0,16.167617032957725,2.235996852416269
0.0,0.0,40.7208910357931,3.7709620381879017
0.00305,24.0,2.611117723669741,1.4467121923271644
0.00305,6.0,0.4946579835305992,0.4565417245787116
0.0061,24.0,5.343426302195307,1.1181145184138142
0.0061,6.0,3.4840895949308277,1.594977076002055
0.0122,24.0,11.76527913527812,0.8069075698044504
0.0122,6.0,6.42889189917894,0.2481296129165881
0.0122,48.0,14.480680154985246,2.344201946439244
0.0122,12.0,9.863086446582646,0.6201297330925458
0.0244,24.0,20.190250603242827,1.2200911890886152
0.0244,48.0,20.4243745040963,1.346244639173248
0.0244,3.0,2.495207131952234,0.3556768096660527
0.0244,24.0,18.53779210705551,3.9257888354136323
0.0244,48.0,14.607464970631908,0.7419494437319742
0.127,41.0,85.37349711385245,14.62964028234062
0.31059,20.0,75.63504428295802,2.9048879510372227
